cohort_id,covariate_id,mean,sd,database_id
7361,991710410,0.143,0.383,MDCD
7361,991710412,-0.143,NA,MDCD
7361,991876410,-0.143,NA,MDCD
7361,993631410,-0.143,NA,MDCD
7361,994058410,-0.143,NA,MDCD
7361,996416410,-0.143,NA,MDCD
7361,1000560410,-0.143,NA,MDCD
7361,1000560412,-0.143,NA,MDCD
7361,1000772410,-0.143,NA,MDCD
7361,1036228410,-0.143,NA,MDCD
7361,1102527410,0.229,0.485,MDCD
7361,1102527412,-0.143,NA,MDCD
7361,1103314410,0.486,0.707,MDCD
7361,1103314412,0.371,0.618,MDCD
7361,1106776410,-0.143,NA,MDCD
7361,1106776412,-0.143,NA,MDCD
7361,1110410410,0.2,0.454,MDCD
7361,1110410412,0.171,0.42,MDCD
7361,1110410413,-0.143,NA,MDCD
7361,1112807410,-0.143,NA,MDCD
7361,1112807412,-0.143,NA,MDCD
7361,1112807413,-0.143,NA,MDCD
7361,1114220410,0.2,0.454,MDCD
7361,1114220412,0.171,0.42,MDCD
7361,1114220413,0.143,0.383,MDCD
7361,1118084410,-0.143,NA,MDCD
7361,1123627410,-0.143,NA,MDCD
7361,1124957410,0.171,0.42,MDCD
7361,1124957412,0.143,0.383,MDCD
7361,1124957413,-0.143,NA,MDCD
7361,1125315410,0.429,0.664,MDCD
7361,1125315412,0.343,0.594,MDCD
7361,1125315413,0.143,0.383,MDCD
7361,1126658410,-0.143,NA,MDCD
7361,1126658412,-0.143,NA,MDCD
7361,1133201410,-0.143,NA,MDCD
7361,1133201412,-0.143,NA,MDCD
7361,1135766410,-0.143,NA,MDCD
7361,1136422410,-0.143,NA,MDCD
7361,1136422412,-0.143,NA,MDCD
7361,1136422413,-0.143,NA,MDCD
7361,1136980410,-0.143,NA,MDCD
7361,1136980412,-0.143,NA,MDCD
7361,1139042410,0.514,0.727,MDCD
7361,1139042412,0.343,0.594,MDCD
7361,1139042413,0.143,0.383,MDCD
7361,1143374410,-0.143,NA,MDCD
7361,1153428410,-0.143,NA,MDCD
7361,1153428412,-0.143,NA,MDCD
7361,1153428413,-0.143,NA,MDCD
7361,1154029410,0.2,0.454,MDCD
7361,1154029412,0.2,0.454,MDCD
7361,1154029413,-0.143,NA,MDCD
7361,1154343410,-0.143,NA,MDCD
7361,1154343412,-0.143,NA,MDCD
7361,1154343413,-0.143,NA,MDCD
7361,1163944410,0.143,0.383,MDCD
7361,1163944412,-0.143,NA,MDCD
7361,1175677702,0.4,0.641,MDCD
7361,1175677704,0.257,0.514,MDCD
7361,1175686702,0.343,0.594,MDCD
7361,1175686704,0.314,0.569,MDCD
7361,1176187702,0.4,0.641,MDCD
7361,1176187704,0.257,0.514,MDCD
7361,1177480410,0.143,0.383,MDCD
7361,1177480412,-0.143,NA,MDCD
7361,1177480413,-0.143,NA,MDCD
7361,1189596410,0.2,0.454,MDCD
7361,1189596412,0.171,0.42,MDCD
7361,1189596413,-0.143,NA,MDCD
7361,1192710410,0.257,0.514,MDCD
7361,1192710412,0.2,0.454,MDCD
7361,1192710413,-0.143,NA,MDCD
7361,1195334410,-0.143,NA,MDCD
7361,1196677410,-0.143,NA,MDCD
7361,1196677412,-0.143,NA,MDCD
7361,1201620410,0.171,0.42,MDCD
7361,1201620412,0.143,0.383,MDCD
7361,1201620413,-0.143,NA,MDCD
7361,1300673410,-0.143,NA,MDCD
7361,1300978410,0.229,0.485,MDCD
7361,1300978412,-0.143,NA,MDCD
7361,1300978413,-0.143,NA,MDCD
