either_subjects,both_subjects,t_only_subjects,c_only_subjects,t_before_c_subjects,c_before_t_subjects,same_day_subjects,t_in_c_subjects,c_in_t_subjects,target_cohort_id,comparator_cohort_id,database_id
5,0,-5,-5,NA,NA,NA,NA,NA,7400,7370,MDCD
11,0,-5,7,NA,NA,NA,NA,NA,7400,7374,MDCD
10,0,-5,6,NA,NA,NA,NA,NA,7400,7376,MDCD
5,0,-5,-5,NA,NA,NA,NA,NA,7400,7377,MDCD
5,-5,-5,-5,-5,0,0,0,0,7400,7381,MDCD
12,0,-5,8,NA,NA,NA,NA,NA,7400,7382,MDCD
17,0,-5,13,NA,NA,NA,NA,NA,7400,7396,MDCD
13,-5,-5,9,-5,0,0,0,0,7400,7398,MDCD
18,0,-5,14,NA,NA,NA,NA,NA,7400,7399,MDCD
49,0,14,35,NA,NA,NA,NA,NA,7464,7361,MDCD
19,0,14,5,NA,NA,NA,NA,NA,7464,7362,MDCD
16,0,14,-5,NA,NA,NA,NA,NA,7464,7364,MDCD
26,14,0,12,0,0,14,14,14,7464,7367,MDCD
18,0,14,-5,NA,NA,NA,NA,NA,7464,7369,MDCD
14,-5,13,0,0,-5,0,-5,0,7464,7370,MDCD
21,0,14,7,NA,NA,NA,NA,NA,7464,7374,MDCD
20,0,14,6,NA,NA,NA,NA,NA,7464,7376,MDCD
15,0,14,-5,NA,NA,NA,NA,NA,7464,7377,MDCD
16,0,14,-5,NA,NA,NA,NA,NA,7464,7381,MDCD
22,0,14,8,NA,NA,NA,NA,NA,7464,7382,MDCD
26,-5,13,12,0,-5,0,-5,0,7464,7396,MDCD
24,0,14,10,NA,NA,NA,NA,NA,7464,7398,MDCD
28,0,14,14,NA,NA,NA,NA,NA,7464,7399,MDCD
18,0,14,-5,NA,NA,NA,NA,NA,7464,7400,MDCD
