cohortId,task,checksum,timeStamp,comparatorId
14717,runTimeDistributions,ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:51:30Z,NA
14867,runTimeDistributions,eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:51:30Z,NA
7396,runTimeDistributions,6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:51:30Z,NA
7398,runTimeDistributions,8710563ff5aa8f599321da088fc586a3,2020-03-28T08:51:30Z,NA
7382,runTimeDistributions,4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:51:30Z,NA
7374,runTimeDistributions,df4abfcd3d59a6896a47d839090084fe,2020-03-28T08:51:30Z,NA
7381,runTimeDistributions,91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:51:30Z,NA
7400,runTimeDistributions,1bbc74563344a4b47aeb9eedfa6475e6,2020-03-28T08:51:30Z,NA
7369,runTimeDistributions,c09e26cee3e5d2532156548ee62cf419,2020-03-28T08:51:30Z,NA
7367,runTimeDistributions,fe581221c3d08dea4b80399c7ceacd5c,2020-03-28T08:51:30Z,NA
7377,runTimeDistributions,8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:51:30Z,NA
7399,runTimeDistributions,a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:51:30Z,NA
7404,runTimeDistributions,dbaea00721ca1036190f8dffb86762c7,2020-03-28T08:51:30Z,NA
7376,runTimeDistributions,a2858c94d28031fd8dcac12121a8fb43,2020-03-28T08:51:30Z,NA
7361,runTimeDistributions,3e79f89c1b6d59013d19b5a0d899453f,2020-03-28T08:51:30Z,NA
7362,runTimeDistributions,ac178c8f7f888dd9f2ca5c61c5bdfe90,2020-03-28T08:51:30Z,NA
7370,runTimeDistributions,f4a873182b5d713b85ebaea9c91d2549,2020-03-28T08:51:30Z,NA
7464,runTimeDistributions,54245bb17609b636c3d733e56cf8ecf7,2020-03-28T08:51:30Z,NA
7364,runTimeDistributions,03a681492ac62c76872b645c614fda55,2020-03-28T08:51:30Z,NA
14717,runBreakdownIndexEvents,ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:51:33Z,NA
14867,runBreakdownIndexEvents,eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:51:33Z,NA
7396,runBreakdownIndexEvents,6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:51:33Z,NA
7398,runBreakdownIndexEvents,8710563ff5aa8f599321da088fc586a3,2020-03-28T08:51:33Z,NA
7382,runBreakdownIndexEvents,4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:51:33Z,NA
7374,runBreakdownIndexEvents,df4abfcd3d59a6896a47d839090084fe,2020-03-28T08:51:33Z,NA
7381,runBreakdownIndexEvents,91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:51:33Z,NA
7400,runBreakdownIndexEvents,1bbc74563344a4b47aeb9eedfa6475e6,2020-03-28T08:51:33Z,NA
7369,runBreakdownIndexEvents,c09e26cee3e5d2532156548ee62cf419,2020-03-28T08:51:33Z,NA
7367,runBreakdownIndexEvents,fe581221c3d08dea4b80399c7ceacd5c,2020-03-28T08:51:33Z,NA
7377,runBreakdownIndexEvents,8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:51:33Z,NA
7399,runBreakdownIndexEvents,a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:51:33Z,NA
7404,runBreakdownIndexEvents,dbaea00721ca1036190f8dffb86762c7,2020-03-28T08:51:33Z,NA
7376,runBreakdownIndexEvents,a2858c94d28031fd8dcac12121a8fb43,2020-03-28T08:51:33Z,NA
