count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
3,3,6,4.666666666666667,1.5275252316519468,5,3,3,6,6,time (days) between cohort start and end,174,PREMIER
3,286,2781,1143.6666666666667,1418.5084889888158,364,286,286,2781,2781,observation time (days) after index,174,PREMIER
3,0,2495,1637.3333333333333,1418.5084889888158,2417,0,0,2495,2495,observation time (days) prior to index,174,PREMIER
8,5,22,10.875,5.249149590988185,8,5,8,13,22,time (days) between cohort start and end,175,PREMIER
8,47,1626,376.25,520.6912301382242,140,47,77,340,1626,observation time (days) after index,175,PREMIER
8,540,3242,2560.75,949.9258241718516,2916,540,1693,3098,3242,observation time (days) prior to index,175,PREMIER
26,7,66,15.615384615384615,13.305869150346918,10,7,7,21,32,time (days) between cohort start and end,176,PREMIER
26,6,1443,442.03846153846155,484.9404483661251,222,12,17,795,1265,observation time (days) after index,176,PREMIER
26,388,3134,1632.6153846153845,842.9576063799686,1497,673,874,2260,2836,observation time (days) prior to index,176,PREMIER
43,1,110,3.86046511627907,16.599743823824852,1,1,1,1,3,time (days) between cohort start and end,177,PREMIER
43,0,3304,454.5348837209302,723.3251376155358,96,2,14,803,1386,observation time (days) after index,177,PREMIER
43,0,3075,521.5581395348837,843.1717698334517,50,1,14,932,1385,observation time (days) prior to index,177,PREMIER
348,1,295,8.083333333333334,26.73417996651905,1,1,1,1,17,time (days) between cohort start and end,178,PREMIER
348,1,3304,686.6120689655172,776.0791438690031,483,11,20,1040,1850,observation time (days) after index,178,PREMIER
348,0,3321,587.278735632184,812.8320433694034,175,0,9,921,1859,observation time (days) prior to index,178,PREMIER
10,1,43,13.4,13.769531582446804,9,1,3,16,31,time (days) between cohort start and end,181,PREMIER
10,8,2233,506.8,816.1899016500728,50,8,27,791,1709,observation time (days) after index,181,PREMIER
10,2,3321,1614,1250.9446208543543,1620,2,112,2708,2808,observation time (days) prior to index,181,PREMIER
13,0,3238,497.0769230769231,951.7852052449003,8,1,2,461,1633,time (days) between cohort start and end,182,PREMIER
13,0,3238,497.0769230769231,951.7852052449003,8,1,2,461,1633,observation time (days) after index,182,PREMIER
13,0,3328,876.3846153846154,1167.7820529006785,289,1,1,1621,2653,observation time (days) prior to index,182,PREMIER
4,1,51,20,22.77425447005163,5,1,1,23,51,time (days) between cohort start and end,183,PREMIER
4,427,1633,1005,543.2617539762332,701,427,427,1259,1633,observation time (days) after index,183,PREMIER
4,289,1495,917,543.2617539762332,663,289,289,1221,1495,observation time (days) prior to index,183,PREMIER
2,7,306,156.5,211.4249275747777,7,7,7,306,306,time (days) between cohort start and end,184,PREMIER
2,7,306,156.5,211.4249275747777,7,7,7,306,306,observation time (days) after index,184,PREMIER
2,7,1573,790,1107.3292193381335,7,7,7,1573,1573,observation time (days) prior to index,184,PREMIER
7,7,23,9.571428571428571,5.968169536721256,7,7,7,9,23,time (days) between cohort start and end,185,PREMIER
7,66,2137,595.4285714285714,704.9373156867347,352,66,222,618,2137,observation time (days) after index,185,PREMIER
