count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
778,1,650,7.658097686375322,35.873563433128616,1,1,1,1,17,time (days) between cohort start and end,178,PREMIER
778,0,5501,967.487146529563,802.6208712875207,812,27,261,1596,2069,observation time (days) after index,178,PREMIER
778,0,6418,2809.0372750642673,2053.8714330438615,2971,6,703,4588,5617,observation time (days) prior to index,178,PREMIER
503,1,288,17.821073558648113,26.059459157745003,9,2,5,18,43,time (days) between cohort start and end,181,PREMIER
503,13,5408,1283.5089463220677,1083.1664696691,1042,158,456,1800,2853,observation time (days) after index,181,PREMIER
503,0,6397,3044.473161033797,1841.5188935858391,3018,431,1423,4567,5684,observation time (days) prior to index,181,PREMIER
140,0,5622,1867.7357142857143,1612.1141649181368,1454,22,377,2748,4468,time (days) between cohort start and end,182,PREMIER
140,0,5622,1867.7357142857143,1612.1141649181368,1454,22,377,2748,4468,observation time (days) after index,182,PREMIER
140,0,6372,2371.285714285714,1835.434934775529,2139,0,864,3513,5136,observation time (days) prior to index,182,PREMIER
63,1,63,13.126984126984127,12.87219065935211,9,2,4,17,33,time (days) between cohort start and end,183,PREMIER
63,6,4714,1348.7777777777778,983.5639186544274,1215,259,640,1810,2395,observation time (days) after index,183,PREMIER
63,0,6248,3325.190476190476,1938.6928490954003,3872,341,1328,4934,5782,observation time (days) prior to index,183,PREMIER
13,2,3673,748,1060.0273581375152,213,11,66,1183,1651,time (days) between cohort start and end,184,PREMIER
13,2,3673,748,1060.0273581375152,213,11,66,1183,1651,observation time (days) after index,184,PREMIER
13,0,5163,1897.7692307692307,1590.9101249413889,1391,72,504,3072,3540,observation time (days) prior to index,184,PREMIER
12,7,42,11.666666666666666,11.300308389463082,7,7,7,7,28,time (days) between cohort start and end,185,PREMIER
12,8,2708,644.25,838.863963941711,230,19,27,719,1809,observation time (days) after index,185,PREMIER
12,0,4745,2658.0833333333335,2016.6211821817806,2302,0,0,4537,4648,observation time (days) prior to index,185,PREMIER
214,7,286,20.677570093457945,43.48799156123763,7,7,7,7,48,time (days) between cohort start and end,186,PREMIER
214,0,5264,1083.8691588785048,1175.5280390503901,690,10,88,1553,2901,observation time (days) after index,186,PREMIER
214,0,6411,2560.9532710280373,2114.511985488209,2439,0,413,4370,5449,observation time (days) prior to index,186,PREMIER
44,7,44,8.272727272727273,5.982002606126482,7,7,7,7,7,time (days) between cohort start and end,187,PREMIER
